Source,Sum_Sq,Percent_Variance
Scenario,536634.394411932,89.3188394243619
Scenario*Algorithm,23487.9525790956,3.90939657738162
Algorithm,19316.9883853631,3.21517033146049
NFFT,4980.61808036559,0.828987167402395
Scenario*NFFT,4016.56859717134,0.668528236921566
Scenario*Components,3468.75461906928,0.577348638196556
Error,2492.34199596022,0.414831954205458
Scenario*Algorithm*NFFT,1970.41210966266,0.327960571769986
Algorithm*NFFT,1659.81036309828,0.276263200495989
Scenario*Algorithm*Components,955.332735348493,0.159008092052944
Components,530.005015824921,0.0882154282236217
Algorithm*Components,452.78496820922,0.0753627204860071
Scenario*Algorithm*NFFT*Components,311.666489984724,0.0518745899681026
Algorithm*NFFT*Components,277.676219522837,0.0462171599915859
Scenario*NFFT*Components,229.305735364323,0.0381662494416437
NFFT*Components,23.0088749675779,0.00382965764021966
Total,600807.62118094,